"PointID","DepthToWater","DepthToWaterBGS","LevelStatus","DateMeasured","TimeMeasured","MPHeight"
"NM-23324","126.83000183105469","126.83000183105469","","1985-08-14T00:00:00Z","","0"
"NM-02198","19.270000457763672","19.270000457763672","","2010-04-12T00:00:00Z","","0"
"NM-19049","319.8999938964844","319.8999938964844","","1961-01-18T00:00:00Z","","0"
"NM-13330","71.3499984741211","71.3499984741211","","1996-02-15T00:00:00Z","","0"
"NM-03200","182.27999877929688","182.27999877929688","","1990-03-19T00:00:00Z","","0"
"NM-14307","-14.859999656677246","-14.859999656677246","","1906-06-21T00:00:00Z","","0"
"NM-02092","74.44000244140625","74.44000244140625","","1956-11-09T00:00:00Z","","0"
"DE-0128","44.65999984741211","44.65999984741211","","2015-11-20T00:00:00Z","","0"
"NM-02265","242.39999389648438","242.39999389648438","","1976-03-23T00:00:00Z","","0"
"NM-02895","261","261","","1996-08-15T00:00:00Z","","0"
"NM-02396","7","7","","1948-04-15T00:00:00Z","","0"
"NM-05420","19.110000610351562","19.110000610351562","","1957-01-25T00:00:00Z","","0"
"NM-13121","7.25","7.25","","1960-03-15T00:00:00Z","","0"
"NM-11298","46.84000015258789","46.84000015258789","","1968-01-16T00:00:00Z","","0"
"NM-18638","6.690000057220459","6.690000057220459","T","1985-09-17T00:00:00Z","","0"
"NM-23199","73.38999938964844","73.38999938964844","","1949-12-14T00:00:00Z","","0"
"NM-28256","148.99000549316406","148.99000549316406","","1992-03-25T00:00:00Z","","0"
"NM-03409","489.4100036621094","489.4100036621094","","2009-11-19T00:00:00Z","","0"
"NM-02314","8","8","","1950-09-15T00:00:00Z","","0"
"NM-17688","5.570000171661377","5.570000171661377","","1982-08-06T00:00:00Z","","0"
"NM-11017","52.36000061035156","52.36000061035156","","1955-07-18T00:00:00Z","","0"
"NM-05347","8.600000381469727","8.600000381469727","","1970-11-15T00:00:00Z","","0"
"NM-15414","97.81999969482422","97.81999969482422","R","1970-02-20T00:00:00Z","","0"
"NM-02794","65.69999694824219","65.69999694824219","","1993-01-27T00:00:00Z","","0"
"NM-02553","84.76000213623047","84.76000213623047","","1973-01-22T00:00:00Z","","0"
"NM-27499","104.6500015258789","104.6500015258789","","1959-06-03T00:00:00Z","","0"
"NM-28251","90.87999725341797","90.87999725341797","","1977-04-25T00:00:00Z","","0"
"NM-01990","10.0600004196167","10.0600004196167","","1991-02-18T00:00:00Z","","0"
"NM-02043","6.199999809265137","6.199999809265137","","1995-12-15T00:00:00Z","","0"
"NM-05340","75.06999969482422","75.06999969482422","","1949-03-18T00:00:00Z","","0"
"NM-13121","5.239999771118164","5.239999771118164","","1971-07-30T00:00:00Z","","0"
"SM-0074","160.39999389648438","159.9099884033203","","2008-03-12T00:00:00Z","","0.49000000953674316"
"NM-27474","83.47000122070312","83.47000122070312","R","1957-01-23T00:00:00Z","","0"
