"PointID","OSEWellID","OSEWelltagID","HoleDepth","WellDepth","CasingDiameter","CasingDepth","CasingDescription","FormationZone","Meaning"
"QU-047","","","","157","","","","110AVMB","Unused"
"NM-03744","","","","250","","","","","Irrigation"
"NM-21254","","","14","14","","","","112SNTF","Unused"
"NM-12467","","","","123","","","","110AVMB","Domestic"
"NM-18772","","","","","","","","112SNTF","Livestock"
"NM-09388","","","","110","","","","121OGLL","Irrigation"
"NM-14316","","","","50","","","","110AVMB","Domestic"
"NM-22572","","","","78","","","","231CHNL","Livestock"
"NM-12061","","","","1075","","","","313SADR","Irrigation"
"NM-14754","","","","30","","","","313ARTS","Livestock"
"NM-05445","","","","265","","","","110AVMB","Unused"
"NM-19178","","","","","","","","121OGLL","Livestock"
"TO-0225","","","","75","0.8333333134651184","","","112QTBF","Public supply"
"NM-12464","","","","120","","","","121OGLL","Irrigation"
"NM-21920","","","","100","","","","111MCCR","Livestock"
"QY-0274","","","17","17","0.5","","","","Unknown"
"NM-19826","","","","","","","","110AVMB","Unused"
"NM-14724","","","","","","","","110AVMB","Livestock"
"NM-22372","","","","","","","","","Irrigation"
"NM-21975","","","","","","","","310GLOR","Livestock"
"NM-25835","","","655","655","","","","211MENF","Livestock"
"NM-19371","","","","152","","","","231SNRS","Domestic"
"NM-15818","","","","130","","","","","Observation"
"QY-0181","","","620","620","1.0833333730697632","","","110AVMB/220ENRD","Unknown"
"EB-057","RG-53219","","430","430","0.550000011920929","430","","400EMBD","Unused"
"NM-11224","","","","1187","","","","313SADR","Irrigation"
"NM-02255","","","","350","","","","","Livestock"
"NM-07101","","","","72","","","","400PCMB","Observation"
"EB-663","RG-86221","","1800","1580","0.41999998688697815","1620","","121TSUQs","Observation"
"TB-0161","T-02060","","70","70","0.5","","","050QUAL","Domestic"
"NM-12619","","","","1100","","","","313SADR","Unused"
"NM-11649","","","","135","","","","110AVMB","Irrigation"
"NM-02181","","","121","121","","","","112SNTF","Unused"
"NM-12948","","","","65","","","","110AVMB","Unused"
"PC-037","X","","80","80","","","","220ENRD","Domestic"
"NM-10516","","","","172","","","","110AVMB","Irrigation"
"NM-18288","","","365","365","","","","121OGLL","Unused"
"NM-14570","","","","","","","","121OGLL","Unused"
"NM-27856","","","","60","","","","110AVMB","Livestock"
"NM-10905","","","","","","","","121OGLL","Livestock"
"NM-13614","","","","","","","","121OGLL","Unused"
"NM-02969","","","","100","","","","121OGLL","Livestock"
"NM-00797","","","","","","","","","Livestock"
"NM-04094","","","350","315","","","","110AVMB","Irrigation"
"NM-20879","","","","107","","","","110AVMB","Livestock"
"NM-07171","","","","795","","","","312RSLR","Livestock"
"DA-0141","","","","","","","","112SNTF","Livestock"
"NM-12999","","","","60","","","","121OGLL","Domestic"
"NM-14015","","","","54","","","","121OGLL","Livestock"
"NM-26136","","","74","74","","","","","Domestic"
"NM-21466","","","400","","","","","000IRSV","Commercial"
"NM-08407","","","","117","","","","121OGLL","Unused"
"NM-04897","","","","65","","","","110AVMB","Domestic"
"NM-06378","","","","75","","","","110AVMB","Unused"
"NM-00902","","","","200","","","","231CHNL","Livestock"
"NM-00430","","","","178","","","","121OGLL","Irrigation"
"NM-03078","","","223","223","","","","112SNTF","Domestic"
"NM-07733","","","","745","","","","","Irrigation"
"DA-0050","","","","390","","","","112SNTF","Domestic"
"NM-16031","","","","152","","","","","Livestock"
"NM-15282","","","","148","","","","210CRCS","Irrigation"
"NM-02743","RA-01250-S","","","168","","","","110AVMB","Irrigation"
"NM-08520","","","","","","","","231CHNL","Livestock"
"NM-19941","","","","100","","","","110AVMB","Livestock"
"NM-21884","","","100","100","","","","110AVMB","Domestic"
"NM-00900","","","","","","","","124BACA","Livestock"
"NM-02887","","","","100","","","","","Observation"
"NM-09918","","","","225","","","","110AVMB","Irrigation"
"NM-05451","LRG-08447","","580","580","1.3300000429153442","580","","110AVMB","Irrigation"
"NM-26800","","","","750","","","","","Domestic"
"BW-0713","","","","364","","","","313SADR","Shared domestic"
"NM-07286","","","","","","","","110AVMB","Unused"
"NM-03186","","","","230","","","","110AVMB","Irrigation"
"QY-0940","","","44","44","0.4166666567325592","","","110AVMB","Livestock"
"NM-12301","","","","1007","","","","313SADR","Unused"
"NM-21486","","","230","230","","","","231CHNL","Public supply"
"NM-21348","","","125","125","","","","110AVMB","Livestock"
"NM-15515","","","","190","","","","210CRCS","Irrigation"
"TO-0365","","","","300","1.3333333730697632","","","112QTBF","Irrigation"
"NM-13808","","","","","","","","","Livestock"
"NM-00761","","","","40","","","","310YESOG","Livestock"
"TB-0123","X","","","","0.5400000214576721","","","180TKSCC_Upper","Unused"
"NM-23206","","","1085","","","","","221WSRC","Industrial"
"NM-04265","","","","","","","","110AVMB","Livestock"
"NM-23265","","","","220","","","","","Public supply"
"NM-16509","","","","90","","","","110AVMB","Unused"
"NM-14823","","","185","","","","","","Unused"
"NM-15060","","","140","140","","","","112SNTF","Domestic"
"NM-04859","","","","","","","","","Unused"
"NM-04734","","","","84","","","","110AVMB","Domestic"
"NM-09257","","","","130","","","","121OGLL","Unused"
"NM-22185","","","","283","","","","","Domestic"
"PC-118","X","","405","405","","","","112SNTFP","Domestic"
"NM-22999","","","16","16","","","","112SNTF","Unused"
"NM-17643","","","","99","","","","110AVMB","Unused"
"NM-24579","","","","54","","","","","Unused"
"NM-10005","","","","","","","","","Unused"
"NM-21694","","","","500","","","","","Irrigation"
"NM-09406","","","1035","","","","","","Livestock"
"NM-26765","","","","","","","","110AVMB","Unused"
"NM-04795","","","60","60","","","","112SNTF","Domestic"
"NM-03431","","","","575","","","","","Institutional"
"NM-05173","","","","","","","","121OGLL","Unused"
"NM-00038","","","","56","","","","312CSTL","Livestock"
"NM-21477","","","684","684","","","","","Unused"
"NM-14583","","","","45","","","","110AVMB","Unused"
"NM-02277","","","1000","685","","","","112SNTF","Public supply"
"NM-07103","","","","120","","","","121OGLL","Livestock"
"UC-0151","CT-00160","","60","60","0.33000001311302185","","","","Livestock"
"NM-01627","","","247","247","","","","124SNJS","Unused"
"QY-0419","","","20","20","1.1666666269302368","","","110ALVM","Livestock"
"NM-18765","","","","80","","","","110AVMB","Domestic"
"NM-18100","","","","124","","","","110AVMB","Irrigation"
"NM-02155","","","433","433","","","","110AVMB","Irrigation"
"NM-10606","","","","806","","","","313SADR","Unused"
"NM-22346","","","","","","","","110AVMB","Livestock"
"NM-02278","","","","","","","","","Livestock"
"SM-0143","PN-00881","","760","760","0.41600000858306885","760","","260SNAN","Livestock"
"NM-12716","","","","","","","","121OGLL","Unused"
"MI-0184","","","","850","","","","220ENRD","Industrial"
"NM-02785","","","","","","","","121OGLL","Livestock"
"NM-01033","","","","94","","","","121OGLL","Livestock"
"NM-27734","","","","101","","","","110AVMB","Irrigation"
"NM-06922","","","","","","","","110AVMB","Unused"
"NM-26576","","","195","","","","","110AVMB","Domestic"
"NM-19311","","","","256","","","","211MVRD","Livestock"
"NM-05350","","","39","39","","","","110AVMB","Unused"
"NM-12826","","","","130","","","","121OGLL","Irrigation"
"WL-0017","G-00234 POD5","","393","210","0.7200000286102295","210","","","Public supply"
"NM-10146","","","","101","","","","121OGLL","Livestock"
"NM-01165","","","137","","","","","","Unused"
"NM-13945","","","","205","","","","313SADR","Domestic"
"NM-19943","","","","242","","","","121OGLL","Livestock"
"NM-18580","","","","","","","","110AVMB","Unused"
"NM-00940","","","","140","","","","110AVMB","Livestock"
"NM-03242","","","","275","","","","110AVMB","Irrigation"
"NM-17416","","","","100","","","","110AVMB","Unused"
"NM-24770","","","112","112","0.41999998688697815","112","","325MDER","Domestic"
"SB-0135","X","","","0","","","","110ALVM","Livestock"
"NM-18449","","","353","284","","","","121OGLL","Unused"
"NM-14527","","","","","","","","210CRCS","Irrigation"
"NM-02959","","","","202","","","","","Irrigation"
"NM-15924","","","","120","","","","","Unused"
"NM-13680","","","","90","","","","121OGLL","Irrigation"
"NM-15821","","","","","","","","","Livestock"
"NM-14063","","","","","","","","110AVMB","Unused"
"NM-15219","","","","100","","","","","Irrigation"
"NM-07458","","","","","","","","312RSLR","Unused"
"NM-09292","","","","","","","","","Irrigation"
"NM-14148","","","","13","","","","","Unused"
"EB-270","Exempt","","380","346","0.375","346","","121CHMTv","Observation"
"NM-05630","","","","","","","","","Irrigation"
"SD-0179","X","","310","310","0.375","","","300YESO","Domestic"
"NM-22065","","","","16","","","","","Unused"
"NM-19673","","","","438","","","","121OGLL","Irrigation"
"NM-14448","","","","110","","","","","Domestic"
"NM-09928","","","216","216","","","","","Irrigation"
"QY-0104","","","220","220","0.5","","","231CHNL","Livestock"
"NM-09212","","","","","","","","","Domestic"
"QY-0773","","","327","327","0.5833333134651184","","","231CHNL","Livestock"
"SB-0233","X","","","256","","","","318BSVP","Irrigation"
"NM-28230","","","","","","","","","Mining"
"EB-688","RG-79509","","800","800","0.550000011920929","800","","121TSUQs","Observation"
"UC-0069","X","","180","180","0.5","180","","221MRSN","Livestock"
"NM-06820","","","","138","","","","110AVMB","Domestic"
"NM-05793","","","","54","","","","","Unused"
"NM-25150","","","","285","","","","121OGLL","Irrigation"
"CX-0131","","","","20","","","","","Unused"
"NM-05979","","","","665","","","","112SNTF","Unused"
"NM-25449","","","252","252","","","","000IRSV","Domestic"
"NM-02419","","","","500","","","","110BLSN","Irrigation"
"NM-13567","","","","","","","","121OGLL","Unused"
"NM-24978","","","","60","","","","121OGLL","Irrigation"
"NM-25507","","","","130","","","","211DKOT","Unused"
"NM-27753","","","","","","","","110AVMB","Livestock"
"NM-07512","","","","30","","","","312RSLR","Irrigation"
"NM-21688","","","","60","","","","110AVMB","Unused"
"NM-14540","","","","30","","","","313ARTS","Livestock"
"NM-04157","","","","100","","","","","Irrigation"
"NM-18606","","","","375","","","","121OGLL","Irrigation"
"NM-17987","","","","","","","","121OGLL","Irrigation"
"NM-25118","RG-22842","","","760","0.550000011920929","760","","121TSUQ","Domestic"
"NM-26429","","","","16","","","","110AVMB","Unused"
"NM-12957","","","","","","","","121OGLL","Livestock"
"NM-17727","","","","78","","","","110AVMB","Livestock"
"NM-26182","","","1160","1146","","","","211OJAM","Public supply"
"NM-23726","","","","450","","","","310GLOR","Unused"
"NM-28455","X","","","","","","","","Observation"
"NM-22806","","","182","","","","","231WNGT","Livestock"
"NM-24636","","","325","100","","","","110AVMB","Public supply"
"NM-00163","","","","225","","","","110AVMB","Domestic"
"UC-0004","X","","175","175","","","","210MCDK","Unused"
"NM-21134","","","1460","1460","","","","231CHNL","Livestock"
"NM-26627","","","","35","","","","110NTGU","Observation"
"NM-25999","","","","","","","","121OGLL","Irrigation"
"EB-407","RG-26718","","250","247","0.5","250","","121TSUQs","Unused"
"NM-12883","","","","80","","","","","Observation"
"NM-13223","","","","143","","","","110AVMB","Institutional"
"NM-09141","","","","228","","","","121OGLL","Unused"
"EB-180","RG-39479","","360","360","0.46000000834465027","360","","121TSUQs","Domestic"
"AR-0099","SJ-02083","","23","23","","23","","","Domestic"
"NM-27850","","","","74","","","","110AVMB","Livestock"
"NM-02247","?","","175","175","0.5","","","110AVMB","Livestock"
"NM-13509","","","","","","","","121OGLL","Livestock"
"TB-0156","T-01538","","70","70","0.5","","","120TSBV_Upper","Unused"
"NM-10791","","","","210","","","","121OGLL","Irrigation"
"NM-09078","","","39","39","","","","110AVMB","Unused"
"NM-04843","","","","512","","","","231SNRS","Livestock"
"NM-03678","","","","66","","","","","Unused"
"NM-17685","","","","59","","","","110AVMB","Unused"
"NM-06695","","","","","","","","312CSTL","Unused"
"NM-00046","","","","196","","","","110AVMB","Domestic"
"SB-0733","X","","","615","","","","112HCBL","Unused"
"NM-14830","","","","","","","","","Domestic"
"NM-06606","","","875","450","","","","","Unused"
"NM-24797","","","","205","","","","","Domestic"
"NM-25751","","","152","152","","","","112SNTF","Domestic"
"NM-09024","","","","","","","","","Livestock"
"QY-0235","","","34","34","0.4166666567325592","","","220ENRD","Unknown"
"NM-13916","","","","203","","","","313SADR","Domestic"
"NM-23970","","","200","200","","","","325MDER","Domestic"
"NM-06122","","","299","272","","","","112SNTF","Unused"
"SO-0259","X","","55","55","0.17000000178813934","","","","Observation"
"EB-315","RG-11278","","","","0.5","","","112ANCH/121TSUQ","Domestic"
"NM-15609","","","142","142","","","","110AVMB","Livestock"
"NM-04993","","","182","","","","","","Livestock"
"NM-18125","","","","","","","","121OGLL","Livestock"
"NM-08858","","","","28","","","","","Domestic"
"NM-23757","","","","324","","","","231SNRS","Unused"
"NM-16019","","","89","89","","","","110BLSN","Domestic"
"NM-13032","","","","","","","","121OGLL","Livestock"
