LocationId,DateCreated,PointID,SiteNames,SiteID,AlternateSiteID,AlternateSiteID2,SiteDate,DataReliability,Confidential,SiteType,WL_Continuous,WL_Intermittent,WaterQuality,WaterFlow,Hydraulic,Subsurface,WellorSpgNoData,SubsurfaceType,Easting,Northing,UTMDatum,CoordinateNotes,Altitude,AltitudeAccuracy,AltitudeMethod,AltDatum,Latitude,Longitude,LatLonDatum,CoordinateAccuracy,CoordinateMethod,Township,TownshipDirection,Range,RangeDirection,SectionQuarters,SPX,SPY,QuadName,County,State,LocationNotes,WLReportDeliver,ChemistryReportDeliver,WLReportNote,ChemistryReportNote,X_NAD83_Zone12,Y_NAD83_Zone12,projectname,USGSProjectID,ObjectID,LatitudeDD,LongitudeDD,SSMA_TimeStamp,PublicRelease,Geometry,UTMZone
CF572B03-E934-42CD-ABE2-00031536DC10,2014-10-17 00:00:00.000,NM-01998,SiteNames_e388f2d1,SiteID_01beb5aa,AlternateSiteID_5ce57898,AlternateSiteID2_2788856f,,U,0,GW,0,1,0,0.0,0.0,0.0,0.0,,688969.0,3545798.0,NAD83,CoordinateNotes_a4162d41,3035.0,,U,NGVD29,320449.9535855856,1030615.1405418592,NAD27,T,M,25.0,S,38.0,E,31.31242,,,Jal SE,LEA,NM,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,10030.0,-5152.0,,463527100,5639,32.03426432558559,-102.96352074094968,0x000000002C39FCFD,0,,13
C1AFC662-7F17-42AD-9A9D-0003F9FD14DA,2019-10-08 00:00:00.000,SB-0561,SiteNames_14e2ee6c,SiteID_38a98847,AlternateSiteID_63d32a54,AlternateSiteID2_2788856f,,U,0,GW,0,0,1,0.0,0.0,0.0,0.0,,472305.0,3432465.0,NAD83,CoordinateNotes_4add0549,4445.0,,R,,,,NAD27,,R,,,,,,,,,Hudspeth,TX,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,3410.0,-15746.0,,,38915,31.02564414414414,-105.29566827927928,0x000000002C39FCFE,0,,13
BD5A7895-C575-456E-8C35-000461397ACA,2015-01-27 00:00:00.000,NM-26509,,SiteID_f23bac3d,AlternateSiteID_5ce57898,AlternateSiteID2_2788856f,,U,0,GW,0,1,0,0.0,0.0,0.0,0.0,,440622.0,4057784.0,NAD83,CoordinateNotes_4bb83175,8735.38,0.01,L,NGVD29,,,NAD83,H,G,,,,,,,,Red River,Taos,NM,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,-19732.0,-5306.0,,,17506,36.6648426381982,-105.62167965576576,0x000000002C39FCFF,0,,13
721C68E0-22E0-4301-92F7-00063A314AAF,2015-01-27 00:00:00.000,NM-12166,SiteNames_df5e2843,SiteID_49e32dce,AlternateSiteID_5ce57898,AlternateSiteID2_2788856f,,U,0,GW,0,1,0,0.0,0.0,0.0,0.0,,636327.0,3677190.0,NAD83,CoordinateNotes_39bb400f,4148.4,2.5,M,NGVD29,,,NAD83,S,M,,,,,,,,Frier Ranch,Lea,NM,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,-2062.0,6090.0,,463527100,19382,33.22470271486487,-103.53436146657658,0x000000002C39FD01,0,,13
5A355530-1353-4700-A6B2-000905087D1C,2015-01-27 00:00:00.000,NM-23019,SiteNames_93d6f770,SiteID_04654343,AlternateSiteID_5ce57898,AlternateSiteID2_2788856f,,U,0,GW,0,1,0,0.0,0.0,0.0,0.0,,350537.0,3913810.0,NAD83,CoordinateNotes_164957d7,5061.98,0.1,L,NGVD29,,,NAD83,F,M,,,,,,,,Alameda,Bernalillo,NM,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,-3400.0,19160.0,,463526500,27352,35.35682284261261,-106.63482274063064,0x000000002C39FD02,0,,13
0EE6DEE7-0667-45A2-BAB1-000AA3C3A2BC,2014-10-17 00:00:00.000,NM-02102,SiteNames_0fee035c,SiteID_5e2d9119,AlternateSiteID_5ce57898,AlternateSiteID2_2788856f,,U,0,GW,0,1,0,0.0,0.0,0.0,0.0,,295839.0,3573004.0,NAD83,CoordinateNotes_329c0b1e,4432.0,5.0,M,NGVD29,320950.1126486487,1070429.077965926,NAD27,S,G,25.0,S,2.0,W,5.133,,,Aden Hills,DONA ANA,NM,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,-8522.0,12504.0,,463526701,454,32.27663212864864,-106.99676793394502,0x000000002C39FD03,0,,13
B37C8613-6981-471D-A75F-000B3054EABB,2015-01-27 00:00:00.000,NM-11375,,SiteID_f752798a,AlternateSiteID_5ce57898,AlternateSiteID2_2788856f,,U,0,GW,0,1,0,0.0,0.0,0.0,0.0,,277643.0,3667004.0,NAD83,CoordinateNotes_e7844f4d,4380.0,10.0,M,NGVD29,,,NAD83,S,M,,,,,,,,Williamsburg,Sierra,NM,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,-6570.0,7264.0,,,29098,33.12023470144143,-107.3703273391892,0x000000002C39FD04,0,,13
E97AB239-FBB4-4AE3-9954-000C230B08C2,2015-01-27 00:00:00.000,NM-19002,,SiteID_0fe0a875,AlternateSiteID_5ce57898,AlternateSiteID2_2788856f,,U,0,GW,0,1,0,0.0,0.0,0.0,0.0,,472973.0,3807562.0,NAD83,CoordinateNotes_1e7e5b61,5765.0,,U,NGVD29,,,NAD83,U,M,,,,,,,,Gacho Hill NW,Guadalupe,NM,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,-5830.0,-7508.0,,,21079,34.40937629036036,-105.2833565125225,0x000000002C39FD05,0,,13
C3752059-3F21-4A2A-8902-000D1AD9FD8D,2015-01-27 00:00:00.000,NM-21420,,SiteID_adcbcd0c,AlternateSiteID_5ce57898,AlternateSiteID2_2788856f,,U,0,GW,0,1,0,0.0,0.0,0.0,0.0,,332438.0,3888374.0,NAD83,CoordinateNotes_98307b0f,4914.0,10.0,M,NGVD29,,,NAD83,S,M,,,,,,,,Isleta,Bernalillo,NM,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,-13994.0,15664.0,,,13952,35.12644432711712,-106.80859744207208,0x000000002C39FD06,0,,13
C48F7F62-1236-4D2C-95F2-000E3A496C9A,2015-01-27 00:00:00.000,NM-20093,SiteNames_edfa3083,SiteID_3ba9f1a2,AlternateSiteID_5ce57898,AlternateSiteID2_2788856f,,U,0,GW,0,1,0,0.0,0.0,0.0,0.0,,682263.0,3825354.0,NAD83,CoordinateNotes_6ec32b50,4403.0,2.5,M,NGVD29,,,NAD83,S,M,,,,,,,,Pleasant Hill NE,Curry,NM,LocationNotes_63453ba9,,,WLReportNote_8f130157,ChemistryReportNote_0187137c,5760.0,-14266.0,,407,25239,34.554879387477484,-103.0213880081081,0x000000002C39FD07,0,,13
