LocationId,WellID,OBJECTID,PointID,OSEWellID,OSEWelltagID,HoleDepth,WellDepth,DepthSource,CompletionDate,CompletionSource,MeasuringPoint,MPHeight,CasingDiameter,CasingDepth,CasingDescription,DrillerName,ConstructionMethod,ConstructionNotes,AquiferType,AqClass,FormationZone,StaticWater,WaterNotes,Status,CurrentUse,StatusUserNotes,MonitoringStatus,OpenWellLoggerOK,MonitorOK,SampleOK,DataSource,Notes,MonitorGroup,WellPdf,MonitorStatusReason,HydrographInterp,PrimaryUseSite_USGS,PrimaryUseWater_USGS,SSMA_TimeStamp
701B8774-F6A9-40C8-BF98-057ED5D0119F,F12017A4-8F9F-4E1D-B947-009461A29361,31986,QY-0940,,,44.0,44.0,R,1946-01-01 00:00:00.000,R,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0.0,0.4166667,,,Driller_7081fe79,,ConstructionNotes_ac859d06,,,110AVMB,,WaterNotes_cfa1b7ae,,L,StatusUserNotes_6f35cbb3,,0.0,0.0,0.0,"GW9: Groundwater Resources & Geology of Quay County, NM (1966) Charles Berkstresser, Jr. & Walter A. Mourant, NM Bureau of Geology",Notes_395ea758,0.0,,MonitorStatusReason_c9915973,,,,0x000000001FF5CB5D
A5BD83FC-BAC7-4FBA-814D-004F06CAB411,C9048929-69E0-40D9-89E5-009E912E9ECD,18992,NM-15515,,,,190.0,A,,,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0.0,,,,Driller_7081fe79,,ConstructionNotes_08d4810a,,,210CRCS,,WaterNotes_0bc0144d,,I,StatusUserNotes_6f35cbb3,,0.0,0.0,0.0,USGS,Notes_395ea758,0.0,,MonitorStatusReason_c9915973,,W,I,0x000000001FF5CB61
6EE5EBB2-CD05-4846-95A6-04C50B0FE95A,2B3D6D40-3B3D-477A-936C-00B356134458,12734,NM-09257,,,,130.0,A,,,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0.0,,,,Driller_7081fe79,,ConstructionNotes_08d4810a,,,121OGLL,,WaterNotes_0bc0144d,,X,StatusUserNotes_6f35cbb3,,0.0,0.0,0.0,USGS,Notes_395ea758,0.0,,MonitorStatusReason_c9915973,,Z,U,0x000000001FF5CB6F
DCBD66A4-17A6-4DA3-8840-03D4932DF443,06BC9B46-BD59-4FF4-8142-015603BBDA38,16700,NM-13223,,,,143.0,A,,,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0.0,,,,Driller_7081fe79,,ConstructionNotes_08d4810a,,,110AVMB,,WaterNotes_0bc0144d,,T,StatusUserNotes_6f35cbb3,,0.0,0.0,0.0,USGS,Notes_395ea758,0.0,,MonitorStatusReason_c9915973,,W,T,0x000000001FF5CBE9
8AA4573E-A578-4C88-984E-01548E868244,140F17B3-13FB-4BDF-8E8D-0277C34CC879,20665,NM-17188,,,,,,,,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0.0,,,,Driller_7081fe79,,ConstructionNotes_08d4810a,,,110AVMB,,WaterNotes_0bc0144d,,D,StatusUserNotes_6f35cbb3,,0.0,0.0,0.0,USGS,Notes_395ea758,0.0,,MonitorStatusReason_c9915973,,W,H,0x000000001FF5CC80
63180F82-CFC8-46FF-B096-0117B7FF078F,4BD9EADB-9DF8-471F-BBCF-0294526F7ABB,18614,NM-15137,,,,,,1954-01-01 00:00:00.000,A,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0.0,,,,Driller_7081fe79,,ConstructionNotes_08d4810a,X,,318ABOU,,WaterNotes_0bc0144d,,X,StatusUserNotes_6f35cbb3,,0.0,0.0,0.0,USGS,Notes_395ea758,0.0,,MonitorStatusReason_c9915973,,U,U,0x000000001FF5CC94
0C076904-8BFB-4AB4-9768-061946F5CA7C,6C44E33D-088D-4026-A07C-03261144B10C,22702,NM-19225,,,,491.0,A,,,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0.0,,,,Driller_7081fe79,,ConstructionNotes_08d4810a,,,121OGLL,,WaterNotes_0bc0144d,,I,StatusUserNotes_6f35cbb3,,0.0,0.0,0.0,USGS,Notes_395ea758,0.0,,MonitorStatusReason_c9915973,,W,I,0x000000001FF5CCDE
3D210CC2-0EB7-4BFC-B6A9-00D801E9398C,32C15B82-8FED-4EF0-9181-033BB7182318,34001,BW-0833,,,,,,,,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0.0,0.5,,,Driller_7081fe79,,ConstructionNotes_08d4810a,,,112ANCH,,WaterNotes_38920c53,,S,StatusUserNotes_6f35cbb3,,0.0,0.0,0.0,"Hood, J.W. and Kister, L.R. (1962) Saline-Water Resources of NM. USGS Water-Supply Paper 1601",Notes_395ea758,0.0,,MonitorStatusReason_c9915973,,,,0x000000001FF5CCEC
A016DBFD-7595-486B-B8CC-04DFCB4CE2C9,54362B85-74CC-4E32-B7B6-03CF975EED27,316,EB-317,RG-22251 X6,,200.0,200.0,D,1973-10-18 00:00:00.000,D,TOC,1.5,0.5,200.0,,Driller_97bcce59,H,ConstructionNotes_08d4810a,U,,121TSUQs,135.0,WaterNotes_ea3af3b0,I,X,StatusUserNotes_89597077,,0.0,0.0,0.0,Well record; field check with SFC Utilities (Leonard Quintana 490-0065),Notes_395ea758,0.0,EB317.pdf,MonitorStatusReason_c9915973,,,,0x000000002666E4A0
5EFD7535-BDD7-41FD-BFB2-059CC32B9805,6FCE12EF-71EE-406A-BB31-0485081730A2,30558,NM-27079,,,,190.0,O,,,Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0.0,,,,Driller_7081fe79,,ConstructionNotes_08d4810a,,,,,WaterNotes_0bc0144d,,O,StatusUserNotes_6f35cbb3,,0.0,0.0,0.0,Data from Lynn Brandvold with NMBGMR chemistry lab.,Notes_395ea758,0.0,,MonitorStatusReason_c9915973,,,,0x000000001FF5CD9B
