"PointID","SiteType","Easting","Northing","PublicRelease"
"NM-01998","GW","678939","3550950","false"
"SB-0561","GW","468895","3448211","false"
"NM-26509","GW","460354","4063090","false"
"NM-12166","GW","638389","3671100","false"
"NM-23019","GW","353937","3894650","false"
"NM-02102","GW","304361","3560500","false"
"NM-11375","GW","284213","3659740","false"
"NM-19002","GW","478803","3815070","false"
"NM-21420","GW","346432","3872710","false"
"NM-20093","GW","676503","3839620","false"
"NM-26703","GW","444559","4079370","false"
"NM-21370","GW","363488","3871850","false"
"NM-21925","GW","366879","3881790","false"
"NM-21398","GW","381801","3872060","false"
"NM-25955","GW","422930","4006070","false"
"WL-0053","GW","463702","3964783","true"
"NM-02823","GW","437814","3696240","false"
"SM-4048","PS","431704","3629967","true"
"PC-141","SP","373692","3912802","true"
"NM-15003","GW","668370","3728840","false"
"NM-18028","GW","619258","3799760","false"
"NM-03128","GW","638212","3812600","false"
"NM-24098","GW","438444","3927480","false"
"OG-0033","GW","642990","3817077","true"
"NM-23348","GW","378531","3900750","false"
"NM-05221","GW","239110","3564680","false"
"NM-08372","GW","648184","3617580","false"
"NM-06974","GW","571429","3591970","false"
"NM-08731","GW","287889","3624250","false"
"MI-0076","GW","461951","3921032","true"
"NM-09696","GW","556681","3632460","false"
"NM-07825","GW","273700","3610810","false"
"DE-0018","GW","632644","3562040","false"
"NM-08480","GW","215288","3622210","false"
"NM-10600","GW","552271","3645430","false"
"NM-02501","GW","558940","3611130","false"
"DE-0002","GW","539107","3592164","false"
"NM-16880","GW","547607","3778700","false"
"NM-14229","GW","543746","3699100","false"
"TO-0257","GW","380879","3851820","true"
"NM-20084","GW","618412","3837960","false"
"NM-14266","GW","141651","3706200","false"
"NM-14917","GW","557750","3723530","false"
"NM-08819","GW","647793","3624590","false"
"NM-07296","GW","219839","3602250","false"
"NM-09170","GW","636832","3628410","false"
"NM-04553","GW","239579","3553320","false"
"NM-24415","GW","463402","3936580","false"
"NM-14443","GW","407947","3705290","false"
"SA-0344","ES","253640","3693537","true"
"NM-15632","GW","679900","3747170","false"
"NM-25780","GW","246660","3999080","false"
"NM-02903","GW","662596","3736630","false"
"NM-25069","GW","660035","3953820","false"
"NM-09083","GW","200550","3630660","false"
"NM-19694","GW","601026","3831160","false"
"NM-15911","GW","329427","3753780","false"
"NM-01001","GW","678490","3822150","false"
"NM-15515","GW","672631","3743930","false"
"NM-11144","GW","680406","3654900","false"
"NM-25781","GW","395911","3996150","false"
"NM-07846","GW","678406","3610310","false"
"NM-24385","GW","651072","3936830","false"
"AH-049","GW","440065","4043487","true"
"NM-06453","GW","359151","3582910","false"
"NM-26471","GW","223613","4066610","false"
"NM-27585","GW","666252","3793490","false"
"NM-09861","GW","667570","3634340","false"
"NM-21747","GW","274073","3881980","false"
"SO-0242","GW","312821","3721005","true"
"NM-13759","GW","545058","3694640","false"
"NM-14259","GW","548598","3699620","false"
"NM-19152","GW","663957","3820620","false"
"ED-0098","GW","567153","3594220","true"
"NM-18234","GW","279817","3804800","false"
"NM-20079","GW","601819","3837700","false"
"JM-021","GW","300969","3643298","true"
"NM-06361","GW","258503","3583120","false"
"NM-09030","GW","559507","3625300","false"
"DA-0115","GW","288208","3556830","true"
"NM-03893","GW","117174","3527650","false"
"NM-01163","GW","608722","3869190","false"
"NM-05057","GW","618355","3559290","false"
"TO-0419","GW","407584","3869490","true"
"NM-22365","GW","663155","3886990","false"
"NM-20271","GW","675159","3842000","false"
"NM-01555","GW","483532","3982930","false"
"EB-400","GW","403504","3928935","true"
"NM-05980","GW","248219","3575700","false"
"QU-538","SP","444332","4060907","true"
"NM-02978","GW","230110","3775700","false"
"TC-286","GW","410096","4098276","true"
"NM-20840","GW","662143","3855540","false"
"NM-11650","GW","558743","3661670","false"
"SB-0621","GW","379518","3532677","false"
"NM-01617","GW","285118","4020960","false"
"SB-0471","GW","497051","3504536","false"
"NM-17765","GW","357784","3794260","false"
"NM-04512","GW","662637","3550190","false"
"NM-00509","GW","275126","3650890","false"
"NM-16381","GW","303343","3770990","false"
"NM-09630","GW","560013","3631840","false"
"NM-07282","GW","644591","3599500","false"
"NM-22958","GW","636335","3893880","false"
"NM-04311","GW","245186","3545600","false"
"NM-19949","GW","653040","3836030","false"
"NM-02165","GW","332923","3565130","false"
"NM-17880","GW","663128","3798020","false"
"QY-0522","GW","676000","3947060","true"
"NM-06387","GW","335243","3582070","false"
"TO-0276","GW","400818","3857660","true"
"QU-022","GW","445801","4067711","true"
"EB-055","GW","418080","3939640","true"
"NM-14793","GW","546670","3719040","false"
"NM-16929","GW","584323","3779730","false"
"TO-0063","GW","381310","3829200","true"
"EB-370","GW","401630","3937747","true"
"BW-0540","GW","402780","3650960","true"
"NM-24567","GW","430955","3939820","false"
"SA-2002","M","268243","3771320","true"
"BW-0624","SP","419613","3725770","true"
"NM-17956","GW","529034","3797380","false"
"NM-12421","GW","558644","3673800","false"
"MI-0281","GW","497201","3954592","true"
"TO-0272","GW","404471","3857920","true"
"NM-07623","GW","660870","3606410","false"
"QU-047","GW","445927","4066649","true"
"NM-12410","GW","553027","3673490","false"
"NM-20915","GW","653668","3857830","false"
"NM-07876","GW","661275","3610390","false"
"NM-23434","GW","227674","3907690","false"
"NM-11445","GW","657127","3659490","false"
