"PointID","AlternateSiteID","AlternateSiteID2","Easting","Northing","SiteType","PublicRelease","LocationNotes"
"NM-01998","","","678939","3550950","GW","false",""
"SB-0561","TWDB 4854501","","468895","3448211","GW","false",""
"NM-26509","","","460354","4063090","GW","false",""
"NM-12166","","","638389","3671100","GW","false",""
"NM-23019","","","353937","3894650","GW","false",""
"NM-02102","","","304361","3560500","GW","false",""
"NM-11375","","","284213","3659740","GW","false",""
"NM-19002","","","478803","3815070","GW","false",""
"NM-21420","","","346432","3872710","GW","false",""
"NM-20093","","","676503","3839620","GW","false",""
"NM-26703","","","444559","4079370","GW","false",""
"NM-21370","","","363488","3871850","GW","false",""
"NM-21925","","","366879","3881790","GW","false",""
"NM-21398","","","381801","3872060","GW","false",""
"NM-25955","","","422930","4006070","GW","false",""
"WL-0053","NM3574125","","463702","3964783","GW","true","From Las Vegas, go north on Hwy 518 ~12.5 miles, turn left on Hwy 94 and go 8.7 miles to junction w/Hwy 105. Get on Hwy 105 by driving straight (Hwy 94 is a right turn). Follow Hwy 105 about 2.8 miles to entrance of Pendaries Village on south (left). Follow Pendaries Village Lane, which makes several turns, about 0.6 miles to the 4-way intersection w/Cumbre and Patron, turn right to stay on Pendaries Village Lane another 0.8 miles. Well 1 is on the north (right) side of the road, ~75 ft. north of road in enclosure next to pumphouse."
"NM-02823","","","437814","3696240","GW","false",""
"SM-4048","","","431704","3629967","PS","true","Stream flow measurement by Patrick Walsh"
"PC-141","PS-18","","373692","3912802","SP","true",""
"NM-15003","","","668370","3728840","GW","false",""
"NM-18028","","","619258","3799760","GW","false",""
"NM-03128","","","638212","3812600","GW","false",""
"NM-24098","","","438444","3927480","GW","false",""
"OG-0033","","","642990","3817077","GW","true",""
"NM-23348","","","378531","3900750","GW","false",""
"NM-05221","","","239110","3564680","GW","false",""
"NM-08372","","","648184","3617580","GW","false",""
"NM-06974","","","571429","3591970","GW","false",""
"NM-08731","","","287889","3624250","GW","false",""
"MI-0076","","","461951","3921032","GW","true","Topographic situation: "
"NM-09696","","","556681","3632460","GW","false",""
"NM-07825","","","273700","3610810","GW","false",""
"DE-0018","","","632644","3562040","GW","false","Use kml to location found on AMP server: W:\regional\3d_delaware_basin\db_data\field_prep. Well in enclosure next to old gas tank."
"NM-08480","","","215288","3622210","GW","false",""
"NM-10600","","","552271","3645430","GW","false",""
"NM-02501","","","558940","3611130","GW","false",""
"DE-0002","","","539107","3592164","GW","false",""
"NM-16880","","","547607","3778700","GW","false",""
"NM-14229","","","543746","3699100","GW","false",""
"TO-0257","7N6E27.341","","380879","3851820","GW","true",""
"NM-20084","","","618412","3837960","GW","false",""
"NM-14266","","","141651","3706200","GW","false",""
"NM-14917","","","557750","3723530","GW","false",""
"NM-08819","","","647793","3624590","GW","false",""
"NM-07296","","","219839","3602250","GW","false",""
"NM-09170","","","636832","3628410","GW","false",""
"NM-04553","","","239579","3553320","GW","false",""
"NM-24415","","","463402","3936580","GW","false",""
"NM-14443","","","407947","3705290","GW","false",""
"SA-0344","","","253640","3693537","ES","true",""
"NM-15632","","","679900","3747170","GW","false",""
"NM-25780","","","246660","3999080","GW","false",""
"NM-02903","","","662596","3736630","GW","false",""
"NM-25069","","","660035","3953820","GW","false",""
"NM-09083","","","200550","3630660","GW","false",""
"NM-19694","","","601026","3831160","GW","false",""
"NM-15911","","","329427","3753780","GW","false",""
"NM-01001","","","678490","3822150","GW","false",""
"NM-15515","","","672631","3743930","GW","false",""
"NM-11144","","","680406","3654900","GW","false",""
"NM-25781","","","395911","3996150","GW","false",""
"NM-07846","","","678406","3610310","GW","false",""
"NM-24385","","","651072","3936830","GW","false",""
"AH-049","","","440065","4043487","GW","true",""
"NM-06453","","","359151","3582910","GW","false",""
"NM-26471","","","223613","4066610","GW","false",""
"NM-27585","","","666252","3793490","GW","false",""
"NM-09861","","","667570","3634340","GW","false",""
"NM-21747","","","274073","3881980","GW","false",""
"SO-0242","SFC-W05B","","312821","3721005","GW","true",""
"NM-13759","","","545058","3694640","GW","false",""
"NM-14259","","","548598","3699620","GW","false",""
"NM-19152","","","663957","3820620","GW","false",""
"ED-0098","21S26E15.114","","567153","3594220","GW","true",""
"NM-18234","","","279817","3804800","GW","false",""
"NM-20079","","","601819","3837700","GW","false",""
"JM-021","","","300969","3643298","GW","true",""
"NM-06361","","","258503","3583120","GW","false",""
"NM-09030","","","559507","3625300","GW","false",""
"DA-0115","25S4W15.33","","288208","3556830","GW","true",""
"NM-03893","","","117174","3527650","GW","false",""
"NM-01163","","","608722","3869190","GW","false",""
"NM-05057","","","618355","3559290","GW","false",""
"TO-0419","9N9E32.131a","","407584","3869490","GW","true",""
"NM-22365","","","663155","3886990","GW","false",""
"NM-20271","","","675159","3842000","GW","false",""
"NM-01555","","","483532","3982930","GW","false",""
"EB-400","","","403504","3928935","GW","true",""
"NM-05980","","","248219","3575700","GW","false",""
"QU-538","","","444332","4060907","SP","true",""
"NM-02978","","","230110","3775700","GW","false",""
"TC-286","CO-33","","410096","4098276","GW","true",""
"NM-20840","","","662143","3855540","GW","false",""
"NM-11650","","","558743","3661670","GW","false",""
"SB-0621","TWDB 4906601","","379518","3532677","GW","false",""
"NM-01617","","","285118","4020960","GW","false",""
"SB-0471","TWDB 4824601","","497051","3504536","GW","false",""
"NM-17765","","","357784","3794260","GW","false",""
"NM-04512","","","662637","3550190","GW","false",""
"NM-00509","","","275126","3650890","GW","false",""
"NM-16381","","","303343","3770990","GW","false",""
"NM-09630","","","560013","3631840","GW","false",""
"NM-07282","","","644591","3599500","GW","false",""
"NM-22958","","","636335","3893880","GW","false",""
"NM-04311","","","245186","3545600","GW","false",""
"NM-19949","","","653040","3836030","GW","false",""
"NM-02165","","","332923","3565130","GW","false",""
"NM-17880","","","663128","3798020","GW","false",""
"QY-0522","16.37.6.121","","676000","3947060","GW","true",""
"NM-06387","","","335243","3582070","GW","false",""
"TO-0276","7N8E3.433","","400818","3857660","GW","true",""
"QU-022","CER-30","","445801","4067711","GW","true","Last driveway on the right before church in Cerro. Vault in front yard."
"EB-055","","","418080","3939640","GW","true","Pecos Trail Subdivision"
"NM-14793","","","546670","3719040","GW","false",""
"NM-16929","","","584323","3779730","GW","false",""
"TO-0063","4N6E3.444","","381310","3829200","GW","true",""
"EB-370","","","401630","3937747","GW","true",""
"BW-0540","15S9E24.3","","402780","3650960","GW","true"," There was no map of well or spring sites with this publication, so we could not verify locations. This is also the reason for the Data Reliability code of 'M'."
"NM-24567","","","430955","3939820","GW","false",""
"SA-2002","","","268243","3771320","M","true","From Hwy 60, take turnoff for FR549 (Mt. Withington and Bear Trap), go south for 10.7 mi. Turn West and go 3 miles to Cox Ranch driveway. Precip collector on fence line SE of main house and well."
"BW-0624","7S10E26.42","","419613","3725770","SP","true","There was no map of well or spring sites with this publication, so we could not verify locations. This is also the reason for the Data Reliability code of 'M'."
"NM-17956","","","529034","3797380","GW","false",""
"NM-12421","","","558644","3673800","GW","false",""
"MI-0281","","","497201","3954592","GW","true","Topographic situation: Valley"
"TO-0272","7N8E1.423","","404471","3857920","GW","true",""
"NM-07623","","","660870","3606410","GW","false",""
"QU-047","","","445927","4066649","GW","true","From Hwy 522, take NM 378 to Cerro. In 0.5 miles the road curves right; find driveway (address 54C) on the left. Well is in vault in multicolored shed behind the house."
"NM-12410","","","553027","3673490","GW","false",""
"NM-20915","","","653668","3857830","GW","false",""
"NM-07876","","","661275","3610390","GW","false",""
"NM-23434","","","227674","3907690","GW","false",""
