Code,Meaning,id
000EXRV,Extrusive Rocks,1
000IRSV,Intrusive Rocks,2
050QUAL,Quaternary Alluvium in Valleys,3
100QBAS,Quaternary basalt,4
110ALVM,Quaternary Alluvium,5
110AVMB,"Alluvium, Bolson Deposits and Other Surface Deposits",6
110BLSN,Bolson Fill,7
110NTGU,"Naha and Tsegi Alluvium Deposits, undifferentiated",8
110PTODC,"Pediment, Terrace and Other Deposits of Gravel, Sand and Caliche",10
111MCCR,McCathys Basalt Flow,11
112ANCH,"Upper Santa Fe Group, Ancha Formation (QTa)",12
112CURB,Cuerbio Basalt,13
112LAMA,"Lama Formation (QTl, QTbh) and other mountain front alluvial fans",14
112LAMAb,"Lama Fm (QTl, QTbh) between Servilleta Basalts",15
112LGUN,Laguna Basalt Flow,16
112QTBF,Quaternary-Tertiary basin fill (not in valleys),17
112QTBFlac,"Quaternary-Tertiary basin fill, lacustrian-playa lithofacies",18
112QTBFpd,"Quaternary-Tertiary basin fill, distal piedmont lithofacies",19
112QTBFppm,"Quaternary-Tertiary basin fill, proximal and medial piedmont lithofacies",20
112SNTF,"Santa Fe Group, undivided",21
112SNTFA,"Upper Santa Fe Group, axial facies",22
112SNTFOB,"Upper SantaFe Group, Loma Barbon member of Arroyo Ojito Formatin",23
112SNTFP,"Upper Santa Fe Group, piedmont facies",24
112TRTO,Tuerto Gravels (QTt),25
120DTIL,Datil Formation,26
120ELRT,El Rito Formation,27
120IRSV,Tertiary Intrusives,28
120SBLC,"Sierra Blanca Volcanics, undivided",29
120SRVB,Tertiary Servilletta Basalts (Tsb),30
120SRVBf,"Tertiary Servilletta Basalts, fractured (Tsbf)",31
120TSBV_Lower,Tertiary Sierra Blanca area lower volcanic unit (Hog Pen Fm),32
120TSBV_Upper,Tertiary Sierra Blanca area upper volcanic unit (above Hog Pen Fm),33
121CHMT,Chamita Formation (Tc),34
121CHMTv,"Chamita Fm, Vallito member (Tcv)",35
121CHMTvs,"Chamita Fm, sandy Vallito member (Tcvs)",36
121OGLL,Ogallala Formation,37
121PUYEF,"Puye Conglomerate, Fanglomerate Member",38
121TSUQ,"Tesuque Formation, undifferentiated unit",39
121TSUQa,Tesuque Fm lithosome A (Tta),40
121TSUQacu,"Tesuque Fm (upper), Cuarteles member lithosome A (Ttacu)",41
121TSUQacuf,"Tesuque Fm (upper), fine-grained Cuarteles member lithosome A (Ttacuf)",42
121TSUQaml,Tesuque Fm lower-middle lithosome A (Ttaml),43
121TSUQb,Tesuque Fm lithosome B (Ttb),44
121TSUQbfl,"Tesuque Fm lower lithosome B, basin-floor deposits (Ttbfl)",45
121TSUQbfm,"Tesuque Fm middle lithosome B, basin-floor deposits (Ttbfm)",46
121TSUQbp,"Tesuque Fm lithosome B, Pojoaque member (Ttbp)",47
121TSUQce,"Tesuque Fm, Cejita member (Ttce)",48
121TSUQe,Tesuque Fm lithosome E (Tte),49
121TSUQs,Tesuque Fm lithosome S (Tts),50
121TSUQsa,Tesuque Fm lateral gradation lithosomes S and A (Ttsag),51
121TSUQsc,Tesuque Fm coarse-grained lithosome S (Ttsc),52
121TSUQsf,"Tesuque Fm, fine-grained lithosome S (Ttsf)",53
122CHOC,Chamita and Ojo Caliente interlayered (Ttoc),54
122CRTO,"Chama El Rito Formation (Tesuque member, Ttc)",55
122OJOC,"Ojo Caliente Formation (Tesuque member, Tto)",56
122PICR,Picuris Tuff,57
122PPTS,Popotosa Formation,58
122SNTFP,"Lower Santa Fe Group, piedmont facies",59
123DTILSPRS,"Datil Group ignimbrites and lavas and Spears Group, interbedded",60
123DTMGandbas,"Datil and Mogollon Group andesite, basaltic andesite, and basalt flows",61
123DTMGign,Datil and Mogollon Group ignimbrites,62
123DTMGrhydac,Datil and Mogollon Group rhyolite and dacite flows,63
123ESPN,T Espinaso Formation (Te),64
123GLST,T Galisteo Formation,65
123PICS,T Picuris Formation (Tp),66
123PICSc,"T Picuris Formation, basal conglomerate (Tpc)",67
123PICSl,T lower Picuris Formation (Tpl),68
123SPRSDTMGlava,"Spears Group and Datil-Mogollon intermediate-mafic lavas, interbedded",69
123SPRSlower,"Spears Group, lower part; tuffaceous, gravelly debris and mud flows",70
123SPRSmid_uppe,"Spears Group, middle-upper part; excludes Dog Spring Formation",71
