Agency,Description,id
USGS,US Geological Survey,1
NMOSE,New Mexico Office of the State Engineer,2
NMBGMR,New Mexico Bureau of Geology & Mineral Resources,3
Bernalillo Cty,Bernalillo County,4
BLM,Bureau of Land Management,5
SFC,Santa Fe County,6
NESWCD,Northeast Soil & Water Conservation District,7
NMED,New Mexico Environment Dept.,8
NMISC,New Mexico Interstate Stream Commission,9
PVACD,Pecos Valley Artesian Conservancy District,10
TSWCD,Taos Soil & Water Conservation District,11
Bayard,Bayard Municipal Water,12
OSWCD,Otero Soil & Water Conservation District,13
SNL,Sandia National Laboratories,14
USFS,US Forest Service,15
TWDB,Texas Water Development Board,16
NMT,New Mexico Tech,17
NPS,National Park Service,18
