CODE,MEANING,id
3H,Tritium ,1
3H:3He Age,Age of Water using dissolved gases,2
Ag,Silver,3
Ag(total),"Silver, total, unfiltered",4
Al,Aluminum,5
Al(total),"Aluminum, total, unfiltered",6
As,Arsenic,7
As(total),"Arsenic, total, unfiltered",8
B,Boron,9
B(total),"Boron, total, unfiltered",10
Ba,Barium,11
Ba(total),"Barium, total, unfiltered",12
Be,Beryllium,13
Be(total),"Beryllium, total, unfiltered",14
Br,Bromide,15
C13r,13C:12C ratio ,16
C14,"14C content, pmc",17
C14_years,Uncorrected C14 age,18
Cd,Cadmium,19
Cd(total),"Cadmium, total, unfiltered",20
CFC11,Chlorofluorocarbon-11 avg age,21
CFC113,Chlorofluorocarbon-113 avg age,22
CFC113_12,Chlorofluorocarbon-113/12 avg RATIO age,23
CFC12,Chlorofluorocarbon-12 avg age,24
Co,Cobalt,25
Co(total),"Cobalt, total, unfiltered",26
Cr,Chromium,27
Cr(total),"Chromium, total, unfiltered",28
Cu,Copper,29
Cu(total),"Copper, total, unfiltered",30
d18O-SO4,delta O18 sulfate,31
d34S-SO4,Sulfate 34 isotope ratio,32
F,Fluoride,33
Fe,Iron,34
Fe(total),"Iron, total, unfiltered",35
H2r,Deuterium:Hydrogen ratio ,36
Hg,Mercury,37
Hg(total),"Mercury, total, unfiltered",38
Li,Lithium,39
Li(total),"Lithium, total, unfiltered",40
Mn,Manganese,41
Mn(total),"Manganese, total, unfiltered",42
Mo,Molybdenum,43
Mo(total),"Molybdenum, total, unfiltered",44
Ni,Nickel,45
Ni(total),"Nickel, total, unfiltered",46
NO2,Nitrite (as NO2),47
NO2(N),Nitrite (as N),48
NO3,Nitrate (as NO3),49
NO3(N),Nitrate (as N),50
O18r,18O:16O ratio ,51
Pb,Lead,52
Pb(total),"Lead, total, unfiltered",53
PO4,Phosphate,54
Sb,Antimony,55
Sb(total),"Antimony, total, unfiltered",56
Se,Selenium,57
Se(total),"Selenium, total, unfiltered",58
Sf6,Sulfur hexafluoride,59
Si,Silicon,60
Si(total),"Silicon, total, unfiltered",61
SiO2,Silica ,62
Sn,Tin,63
Sn(total),"Tin, total, unfiltered",64
Sr,Strontium,65
Sr(total),"Strontium, total, unfiltered",66
Sr87:Sr86,Strontium 87:86 ratio,67
Th,Thorium,68
Th(total),"Thorium, total, unfiltered",69
Ti,Titanium,70
Ti(total),"Titanium, total, unfiltered",71
Tl,Thallium,72
Tl(total),"Thallium, total, unfiltered",73
U,"Uranium (total, by ICP-MS)",74
U(total),"Uranium, total, unfiltered",75
V,Vanadium,76
V(total),"Vanadium, total, unfiltered",77
Zn,Zinc,78
Zn(total),"Zinc, total, unfiltered",79
C14_corrected,Corrected C14 in years,80
AsIII,Arsenite (arsenic species),81
AsV,Arsenate (arsenic species),82
CN6,Cyanide,83
ERT,Estimated recharge temperature,84
H2S,Hydrogen sulfide,85
NH3,Ammonia,86
NH4,Ammonium,87
TN,Total nitrogen,88
TKN,Total Kjeldahl nitrogen,89
DOC,Dissolved organic carbon,90
TOC,Total organic carbon,91
d13C-DIC,delta C13 of dissolved inorganic carbon,93
