"Project","PointIDPrefix"
"Questa Red River","QU, TC, TS"
"S.Taos Valley","TV, TS"
"La Cienega","LC, EB"
"San Agustin Plains Alamosa Creek","SA"
"Sacramento Mtns","SM"
"Espanola Basin","EB"
"Tularosa Basin","TB, SM"
"SM Watershed","SM"
"Union County","UC"
"White Sands","WS"
"Jornada Del Muerto","JM"
"La Jencia","LJ"
"Magdalena","MG"
"Truth or Consequences","HS"
"Geothermal","GT"
"Arroyo Seco","AS"
"Arroyo Hondo","AH"
"Taos Plateau","TC, TS"
"New Mexico","NM"
"Tiffany Fire Restoration","TF, SO"
"Bernalillo County","BC"
"Clovis-Portales","CP"
"El Morro","EM"
"Statewide Recharge","SR"
"San Miguel County","MI"
"Socorro","SO"
"Animas River","AR"
"Quay County","QY"
"Sandia and N. Manzano Mtns.","SD"
"Brackish Water","BW"
"Dona Ana County","DA"
"Eastern Tularosa Basin","TB"
"Colfax County","CX"
"Eddy County","ED"
"Torrance County","TO"
"Pena Blanca","PB"
"Sandoval County","SV"
"Taos Gorge Springs","TS"
"Water Level Network","WL"
"Rio Arriba","RA"
"Placitas","PC"
"Picuris Pueblo","PP"
"Sunshine Valley","TC"
"NGWMN","NGWMN"
"Rio Rancho","RR"
"Albuquerque Basin","AB"
"Tiffany Fire Recovery","TF, SO"
"Salt Basin","SB"
"Mimbres Basin","MB"
"MRGCD","SO"
"Delaware Basin","DE"
"ABCWUA","AB, BC, NM"
"Embudo Wetlands","EW"
"Ogallala Groundwater","OG"
"Not Assigned","000"
