"WellID","WDBID","PointID","counter","ScreenTop","ScreenBottom","ScreenDescription","OBJECTID","GlobalID","SSMA_TimeStamp"
"FE36774A-DC89-4456-9F3F-BBE335133F71","36","UC-0019","0","60","100","","1316","D543F930-EB25-46D9-B42D-00044C9B4771","0x00000000002C4779"
"278069B0-1649-4D40-9892-390F17CB6750","33392","SM-0039","0","120","200","","768","E898A227-3C9A-4696-BE9E-002BE6F06EFA","0x00000000002C477A"
"45A9EB2E-5F3A-4F1D-95A1-9E31D5F53C14","155591","TB-0128","0","120","140","","1288","EF5EC170-2056-4C1C-B7EB-003322DBE052","0x00000000002C477B"
"DB86C570-B336-4D1B-BE7E-BBFD719CEA71","464","EB-459","0","360","370","","519","95A6FA53-1063-4814-99C4-003FD4A5CF0B","0x00000000002C477C"
"D0B771BA-AC4E-4244-B805-229B06B845A5","523","QU-136","0","308","338","","1010","F1729119-DA74-40A9-ADA0-00404D407847","0x00000000002C477D"
"737F3D89-07E0-43A7-A652-23FEB9C56B1A","","BC-0120","0","480","500","","5051","FD1F5F11-1D54-4640-B1BA-004F5E06C5A0","0x00000000002C477E"
"6B44930C-AB58-4842-8182-80287F8412BA","","AH-073","0","383","403","","1803","B48416FC-8C22-49F3-B71E-0057416C5108","0x00000000002C477F"
"5B187DD2-CDA3-44FE-ABDC-B5A6BDA915BE","","BC-0084","0","140","160","","5021","B33C61B0-45D6-4839-86A6-00697D3847D2","0x00000000002C4780"
"62AA881D-B624-4FA3-B3CF-2047EC87502C","235","EB-231","0","140","160","","290","8722F36C-AE42-460A-A2EB-00992E006676","0x00000000002C4781"
"28B3B3B2-7BBC-4672-8A34-6AF80E2C6EC2","379","QU-049","0","130","160","","960","27EC6226-24F6-46C8-915C-00AC86395271","0x00000000002C4782"
"6AE53A94-F44A-4E31-8E02-E3DBF098B5C5","","NM-04044","0","173","203","","5614","39AA898B-5082-CE4E-971E-00B33A238BF5","0x00000000002C4783"
"B0EB29F7-FF44-413E-97BE-55FDA158FCF8","329","EB-325","0","200","220","","401","E4E19618-AB8C-4078-A4A6-00E7712274EC","0x00000000002C4784"
"A4337B54-DBE6-45F8-B3B6-13DA810B1C98","","NM-00808","0","40","43","","3747","FD150E6A-F81E-4815-854B-00F533E0D1F2","0x00000000002C4785"
"28B7D825-573C-4EE9-AEE6-ABBB286F8AA8","375","QU-046","0","720","900","","959","6DAD5C94-AACE-49FD-98DD-01044E8D9D1E","0x00000000002C4786"
"242FE5C9-0221-4E7E-B0D8-7AFC1121A99D","","BC-0032","0","170","180","","3924","AF50E02F-6B35-41D1-9D8B-010EA3784F01","0x00000000002C4787"
"5F331D08-8606-4722-A31E-C5E65CDB3950","","SO-0217","0","3","18","","3221","7430EFC8-10E3-4D8E-A610-01118B7BE497","0x00000000002C4788"
"70437076-FF37-4849-9994-4E14F59BCA44","","AR-0177","0","10","27","","3731","6A2B028D-72A0-46EE-8C0E-011744B01B80","0x00000000002C4789"
"4FBCA007-2CBD-499E-A181-B06FA510448E","155495","TB-0047","0","260","300","","1245","4E2956E2-6157-4EA9-9A79-01186444BF64","0x00000000002C478A"
"BF6A29AB-4DA0-46B9-BF56-895008886D9A","","SO-0230","0","81","86","","3234","B9211D8A-1B56-4AFA-ADB4-0133ADC978D4","0x00000000002C478B"
"99900D7D-556F-4C3A-9323-4F86FDABAFD7","","NM-03691","0","118","158","","2827","5C3534EA-F1AF-43EB-9B12-0161D6A879C0","0x00000000002C478C"
"7D5B0A51-AA8E-48FB-A309-2CB6DF48463A","","AB-0057","0","320","330","","2602","51290C16-F89B-47F1-AD07-0182418A9106","0x00000000002C478D"
"F54ACA98-AD3C-45D6-9612-BC7F72365169","160","TV-140","0","220","260","","1071","07007449-3DBE-4DB1-9A75-018BC47ED10F","0x00000000002C478E"
"2F1F6B46-A00B-425A-9A16-B8133C142793","33310","EB-606","0","620","630","","655","E19A879F-164A-4252-8207-01BA2D7372FD","0x00000000002C478F"
"D3BAF60F-7277-4E00-959D-5347945584EF","","NM-26884","0","340","380","","4931","31339796-FE45-4B0B-95EF-01BF9160BB98","0x00000000002C4790"
"4F22631D-B2C5-4A94-A1E6-8007F6E93483","33315","EB-611","0","1190","1990","","660","6E7B36ED-6394-497F-83FC-01CAAD6D2F05","0x00000000002C4791"
"734F03B4-5D7A-44E7-B8DB-7AD16388F118","325","SM-0258","0","90","110","0.032"" slotted pvc","850","DE0218F6-96CD-4CEA-A8F8-01D366EBE317","0x00000000002C4792"
"8C6D9CAB-D786-418E-B55C-6DA4CA4C561C","33602","SM-0091","0","700","720","","808","12603E79-A0D3-4408-B7A4-01ED1E26BE73","0x00000000002C4793"
"232863A3-F0F3-4700-8629-AAA5BD77BA5F","223","EB-219","0","76","109","","279","6BC0E7D0-2F4F-467B-9D5C-01FF39C72EC2","0x00000000002C4794"
"F4494EB6-7EF8-47C5-BD0C-77675BA2C0EB","262","EB-258","0","191","205","","317","037DB147-0966-4E26-8911-020F35015011","0x00000000002C4795"
"EDAFFD0B-BEA0-4083-8F45-42667BFAAF93","170","TV-150","0","42","84","","1079","D88DE48F-2283-4C24-80B2-022397180B78","0x00000000002C4796"
"431BFF9C-5F28-4E55-8610-2AAE12484B10","","NM-24714","0","440","460","","3670","05191149-473E-4625-A906-024343550D43","0x00000000002C4797"
"8219F918-91FD-452D-8F7D-A193A135BBF5","400","EB-396","0","90","98","","454","B9DEA0E5-7CA7-4E74-AE5B-02464A1E29DF","0x00000000002C4798"
"FB0F0E87-DC74-4C57-9FCF-E0D553F8ED25","","NM-05562","0","240","260","","3877","78DAF18A-9015-4740-8F42-024A5E033A27","0x00000000002C4799"
"DD3326EE-5314-4524-BF96-19A6A296DAB6","","AH-096","0","262","302","","1783","7568C2E1-6F4A-4F47-B693-025793CDD68D","0x00000000002C479A"
"17503A46-1929-4B81-AEE3-BC9FBE80900C","","NM-03404","0","60","70","","2799","C0E19CE3-18CF-4CF8-84F9-02763EE8898A","0x00000000002C479B"
"F89CC8A9-DC0E-459B-8A56-B3DDA6DAC2B1","","AB-0252","0","","","","5763","951928AB-E6E1-4E34-AFA6-0278B084C3F1","0x00000000002CF39E"
"FA275572-7845-45D2-AC40-1B26B0BD44F8","277","EB-273","0","700","800","","332","FC72D3F3-3F44-42A5-B0E0-027E93601727","0x00000000002C479C"
"F162D6AB-BF4A-0947-9228-963552B72F04","","WL-0139","0","70","90","","5633","36C20AEC-9D68-B947-B2BE-029C036DCFC9","0x00000000002C479D"
"B3FFFFAF-8ABE-4D15-959C-297A1769AE95","","AR-0150","0","25","30","","3089","6C12DD19-7372-42B6-8BD9-02C9DAB927BE","0x00000000002C479E"
